"","EVENT_DATE","COUNTRY","number"
"469",1999-07-15,"Sierra Leone",24
"470",1999-07-16,"Sierra Leone",1
"471",1999-07-17,"Sierra Leone",3
"472",1999-07-18,"Sierra Leone",3
"473",1999-07-20,"Sierra Leone",1
"474",1999-07-22,"Sierra Leone",1
"475",1999-07-24,"Sierra Leone",1
"476",1999-07-26,"Sierra Leone",1
"477",1999-07-31,"Sierra Leone",4
"478",1999-08-01,"Sierra Leone",3
"479",1999-08-03,"Sierra Leone",3
"480",1999-08-04,"Sierra Leone",1
"481",1999-08-15,"Sierra Leone",14
"482",1999-08-31,"Sierra Leone",2
"483",1999-09-01,"Sierra Leone",8
"484",1999-09-03,"Sierra Leone",2
"485",1999-09-07,"Sierra Leone",2
"486",1999-09-14,"Sierra Leone",2
"487",1999-09-15,"Sierra Leone",18
"488",1999-09-17,"Sierra Leone",3
"489",1999-09-21,"Sierra Leone",2
"490",1999-09-29,"Sierra Leone",2
"491",1999-09-30,"Sierra Leone",9
"492",1999-10-01,"Sierra Leone",7
"493",1999-10-07,"Sierra Leone",2
"494",1999-10-14,"Sierra Leone",2
"495",1999-10-15,"Sierra Leone",9
"496",1999-10-16,"Sierra Leone",1
"497",1999-10-21,"Sierra Leone",2
"498",1999-10-31,"Sierra Leone",11
"499",1999-11-01,"Sierra Leone",3
"500",1999-11-02,"Sierra Leone",1
"501",1999-11-03,"Sierra Leone",3
"502",1999-11-07,"Sierra Leone",2
"503",1999-11-08,"Sierra Leone",1
"504",1999-11-15,"Sierra Leone",9
"505",1999-11-29,"Sierra Leone",1
"506",1999-11-30,"Sierra Leone",3
"507",1999-12-01,"Sierra Leone",1
"508",1999-12-15,"Sierra Leone",15
"509",1999-12-18,"Sierra Leone",4
"510",1999-12-20,"Sierra Leone",1
"511",1999-12-22,"Sierra Leone",3
"512",1999-12-25,"Sierra Leone",5
"513",1999-12-26,"Sierra Leone",4
"514",1999-12-31,"Sierra Leone",2
"515",2000-01-01,"Sierra Leone",8
"516",2000-01-06,"Sierra Leone",1
"517",2000-01-07,"Sierra Leone",1
"518",2000-01-14,"Sierra Leone",1
"519",2000-01-15,"Sierra Leone",20
"520",2000-01-21,"Sierra Leone",1
"521",2000-01-31,"Sierra Leone",2
"522",2000-02-01,"Sierra Leone",1
"523",2000-02-15,"Sierra Leone",17
"524",2000-02-16,"Sierra Leone",7
"525",2000-02-28,"Sierra Leone",2
"526",2000-03-01,"Sierra Leone",1
"527",2000-03-10,"Sierra Leone",2
"528",2000-03-15,"Sierra Leone",10
"529",2000-03-22,"Sierra Leone",1
"530",2000-03-28,"Sierra Leone",2
"531",2000-03-29,"Sierra Leone",1
"532",2000-03-31,"Sierra Leone",2
"533",2000-04-01,"Sierra Leone",4
"534",2000-04-15,"Sierra Leone",11
"535",2000-04-21,"Sierra Leone",1
"536",2000-04-23,"Sierra Leone",1
"537",2000-04-30,"Sierra Leone",2
"538",2000-05-01,"Sierra Leone",15
"539",2000-05-02,"Sierra Leone",7
"540",2000-05-03,"Sierra Leone",4
"541",2000-05-05,"Sierra Leone",6
"542",2000-05-07,"Sierra Leone",1
"543",2000-05-08,"Sierra Leone",5
"544",2000-05-09,"Sierra Leone",4
"545",2000-05-10,"Sierra Leone",4
"546",2000-05-11,"Sierra Leone",4
"547",2000-05-12,"Sierra Leone",1
"548",2000-05-14,"Sierra Leone",2
"549",2000-05-15,"Sierra Leone",35
"550",2000-05-16,"Sierra Leone",3
"551",2000-05-17,"Sierra Leone",1
"552",2000-05-18,"Sierra Leone",2
"553",2000-05-19,"Sierra Leone",1
"554",2000-05-20,"Sierra Leone",1
"555",2000-05-21,"Sierra Leone",1
"556",2000-05-23,"Sierra Leone",1
"557",2000-05-24,"Sierra Leone",1
"558",2000-05-26,"Sierra Leone",2
"559",2000-05-28,"Sierra Leone",2
"560",2000-05-29,"Sierra Leone",1
"561",2000-05-31,"Sierra Leone",10
"562",2000-06-01,"Sierra Leone",9
"563",2000-06-04,"Sierra Leone",1
"564",2000-06-05,"Sierra Leone",4
"565",2000-06-07,"Sierra Leone",1
"566",2000-06-08,"Sierra Leone",1
"567",2000-06-10,"Sierra Leone",1
"568",2000-06-12,"Sierra Leone",1
"569",2000-06-13,"Sierra Leone",1
"570",2000-06-14,"Sierra Leone",1
"571",2000-06-15,"Sierra Leone",52
"572",2000-06-21,"Sierra Leone",3
"573",2000-06-22,"Sierra Leone",1
"574",2000-06-23,"Sierra Leone",11
"575",2000-06-25,"Sierra Leone",2
"576",2000-06-29,"Sierra Leone",2
"577",2000-06-30,"Sierra Leone",5
"578",2000-07-01,"Sierra Leone",4
"579",2000-07-02,"Sierra Leone",1
"580",2000-07-07,"Sierra Leone",5
"581",2000-07-09,"Sierra Leone",1
"582",2000-07-10,"Sierra Leone",2
"583",2000-07-11,"Sierra Leone",1
"584",2000-07-15,"Sierra Leone",10
"585",2000-07-22,"Sierra Leone",3
"586",2000-07-29,"Sierra Leone",1
"587",2000-07-31,"Sierra Leone",3
"588",2000-08-01,"Sierra Leone",6
"589",2000-08-02,"Sierra Leone",2
"590",2000-08-15,"Sierra Leone",15
"591",2000-08-17,"Sierra Leone",1
"592",2000-08-20,"Sierra Leone",3
"593",2000-08-27,"Sierra Leone",2
"594",2000-08-30,"Sierra Leone",1
"595",2000-08-31,"Sierra Leone",7
"596",2000-09-01,"Sierra Leone",6
"597",2000-09-02,"Sierra Leone",3
"598",2000-09-03,"Sierra Leone",1
"599",2000-09-06,"Sierra Leone",2
"600",2000-09-10,"Sierra Leone",8
"601",2000-09-15,"Sierra Leone",6
"602",2000-09-25,"Sierra Leone",3
"603",2000-09-26,"Sierra Leone",4
"604",2000-09-30,"Sierra Leone",4
"605",2000-10-01,"Sierra Leone",7
"606",2000-10-02,"Sierra Leone",1
"607",2000-10-03,"Sierra Leone",4
"608",2000-10-10,"Sierra Leone",5
"609",2000-10-12,"Sierra Leone",1
"610",2000-10-15,"Sierra Leone",6
"611",2000-10-16,"Sierra Leone",1
"612",2000-10-17,"Sierra Leone",1
"613",2000-10-20,"Sierra Leone",5
"614",2000-10-30,"Sierra Leone",1
"615",2000-10-31,"Sierra Leone",1
"616",2000-11-01,"Sierra Leone",2
"617",2000-11-10,"Sierra Leone",9
"618",2000-11-15,"Sierra Leone",10
"619",2000-11-20,"Sierra Leone",3
"620",2000-12-01,"Sierra Leone",5
"621",2000-12-15,"Sierra Leone",10
"622",2000-12-31,"Sierra Leone",11
"623",2001-01-01,"Sierra Leone",2
"624",2001-01-10,"Sierra Leone",5
"625",2001-01-12,"Sierra Leone",4
"626",2001-01-15,"Sierra Leone",9
"627",2001-01-31,"Sierra Leone",2
"628",2001-02-01,"Sierra Leone",4
"629",2001-02-10,"Sierra Leone",1
"630",2001-02-15,"Sierra Leone",14
"631",2001-02-16,"Sierra Leone",3
